code,label,level,type,severity,message
03.03.03,Controle de Doenças,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
03.03.03,Controle de Doenças,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
03.03.04,Inspeção de Produtos,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
03.03.04,Inspeção de Produtos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
03.03.05,Fiscalização de Serviços de Saúde,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
03.03.05,Fiscalização de Serviços de Saúde,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
03.04.01,Políticas de Saúde Pública,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
03.04.01,Políticas de Saúde Pública,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
03.04.02,Epidemiologia,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
03.04.02,Epidemiologia,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
03.04.03,Educação em Saúde,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
03.04.03,Educação em Saúde,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
03.04.04,Controle de Fatores Ambientais,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
03.04.04,Controle de Fatores Ambientais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
03.05.01,Saúde Bucal,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
03.05.01,Saúde Bucal,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
03.05.02,Saúde do Idoso,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
03.05.02,Saúde do Idoso,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
03.05.03,Saúde do Trabalhador,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
03.05.03,Saúde do Trabalhador,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
03.05.04,Pesquisa e Desenvolvimento em Saúde,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
03.05.04,Pesquisa e Desenvolvimento em Saúde,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
04,Segurança Pública,L1,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
04,Segurança Pública,L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 22 palavras (recomendado: 80-200)
04.01,Policiamento,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 38 palavras (recomendado: 50-150)
04.01.01,Policiamento Ostensivo,L3,too_short,ALTO,Descrição muito curta: 28 palavras (mínimo: 30)
04.01.01,Policiamento Ostensivo,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 28 palavras (recomendado: 30-100)
04.01.02,Policiamento Comunitário,L3,too_short,ALTO,Descrição muito curta: 27 palavras (mínimo: 30)
04.01.02,Policiamento Comunitário,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 27 palavras (recomendado: 30-100)
04.01.03,Policiamento Preventivo,L3,too_short,ALTO,Descrição muito curta: 26 palavras (mínimo: 30)
04.01.03,Policiamento Preventivo,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 26 palavras (recomendado: 30-100)
04.01.04,Patrulhamento Urbano,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
04.01.04,Patrulhamento Urbano,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
04.01.05,Policiamento em Áreas Rurais,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
04.01.05,Policiamento em Áreas Rurais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
04.02,Combate ao Crime Organizado,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 36 palavras (recomendado: 50-150)
04.02.01,Investigação de Organizações Criminosas,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
04.02.01,Investigação de Organizações Criminosas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
04.02.02,Operações Contra o Tráfico de Drogas,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
04.02.02,Operações Contra o Tráfico de Drogas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
04.02.03,Combate ao Tráfico de Armas,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
04.02.03,Combate ao Tráfico de Armas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
04.02.04,Combate ao Crime Cibernético,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
04.02.04,Combate ao Crime Cibernético,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
04.02.05,Repressão a Facções Criminosas,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
04.02.05,Repressão a Facções Criminosas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
04.03,Prevenção e Enfrentamento à Violência,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 40 palavras (recomendado: 50-150)
04.03.01,Prevenção à Violência,L3,too_short,ALTO,Descrição muito curta: 27 palavras (mínimo: 30)
04.03.01,Prevenção à Violência,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 27 palavras (recomendado: 30-100)
04.03.02,Campanhas de Conscientização,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
04.03.02,Campanhas de Conscientização,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
04.03.03,Enfrentamento à Violência Doméstica,L3,too_short,ALTO,Descrição muito curta: 29 palavras (mínimo: 30)
04.03.03,Enfrentamento à Violência Doméstica,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 29 palavras (recomendado: 30-100)
04.03.04,Enfrentamento ao Bullying e Cyberbullying,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
04.03.04,Enfrentamento ao Bullying e Cyberbullying,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
04.03.05,Resolução de Conflitos,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
04.03.05,Resolução de Conflitos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
04.04,Justiça e Segurança,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 44 palavras (recomendado: 50-150)
04.04.01,Cooperação entre Polícia e Sistema Judiciário,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
04.04.01,Cooperação entre Polícia e Sistema Judiciário,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
04.04.02,Execução Penal e Reintegração Social,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
04.04.02,Execução Penal e Reintegração Social,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
04.04.03,Garantia de Direitos Humanos no Sistema Penal,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
04.04.03,Garantia de Direitos Humanos no Sistema Penal,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
04.04.04,Atuação da Defensoria Pública,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
04.04.04,Atuação da Defensoria Pública,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
04.04.05,Investigação de Crimes de Colarinho Branco,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
04.04.05,Investigação de Crimes de Colarinho Branco,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
05,Meio Ambiente e Sustentabilidade,L1,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
05,Meio Ambiente e Sustentabilidade,L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 22 palavras (recomendado: 80-200)
05.01.01,Proteção da Vida Selvagem,L3,too_short,ALTO,Descrição muito curta: 28 palavras (mínimo: 30)
05.01.01,Proteção da Vida Selvagem,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 28 palavras (recomendado: 30-100)
05.01.02,Conservação Marinha,L3,too_short,ALTO,Descrição muito curta: 26 palavras (mínimo: 30)
05.01.02,Conservação Marinha,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 26 palavras (recomendado: 30-100)
05.01.03,Qualidade da Água,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
05.01.03,Qualidade da Água,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
05.01.04,Qualidade do Ar,L3,too_short,ALTO,Descrição muito curta: 26 palavras (mínimo: 30)
05.01.04,Qualidade do Ar,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 26 palavras (recomendado: 30-100)
05.01.05,Recursos Hídricos,L3,too_short,ALTO,Descrição muito curta: 27 palavras (mínimo: 30)
05.01.05,Recursos Hídricos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 27 palavras (recomendado: 30-100)
05.01.06,Agricultura Sustentável,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
05.01.06,Agricultura Sustentável,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
05.02,Mudanças Climáticas,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 44 palavras (recomendado: 50-150)
05.02.01,Catástrofes Climáticas,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
05.02.01,Catástrofes Climáticas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
05.02.02,Justiça Climática,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
05.02.02,Justiça Climática,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
05.02.03,Educação Ambiental,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
05.02.03,Educação Ambiental,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
05.02.04,Desenvolvimento Sustentável,L3,too_short,ALTO,Descrição muito curta: 27 palavras (mínimo: 30)
05.02.04,Desenvolvimento Sustentável,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 27 palavras (recomendado: 30-100)
05.03,Energia Renovável e Limpa,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 46 palavras (recomendado: 50-150)
05.03.01,Energia Renovável,L3,too_short,ALTO,Descrição muito curta: 27 palavras (mínimo: 30)
05.03.01,Energia Renovável,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 27 palavras (recomendado: 30-100)
05.03.02,Energia Limpa,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
05.03.02,Energia Limpa,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
05.04,Gestão de Resíduos e Licenciamento,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 46 palavras (recomendado: 50-150)
05.04.01,Gestão de Resíduos,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
05.04.01,Gestão de Resíduos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
05.04.02,Licenciamento Ambiental,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
05.04.02,Licenciamento Ambiental,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
06,"Ciência, Tecnologia e Inovação",L1,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
06,"Ciência, Tecnologia e Inovação",L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 20 palavras (recomendado: 80-200)
06.01,Pesquisa Científica,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 35 palavras (recomendado: 50-150)
06.01.01,Ciência Aberta,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
06.01.01,Ciência Aberta,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
06.01.02,Ciência e Democracia,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
06.01.02,Ciência e Democracia,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
06.01.03,Inteligência em Dados,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
06.01.03,Inteligência em Dados,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
06.02,Desenvolvimento Tecnológico,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 38 palavras (recomendado: 50-150)
06.02.01,Inteligência Artificial,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
06.02.01,Inteligência Artificial,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
06.02.02,Propriedade Intelectual,L3,too_short,ALTO,Descrição muito curta: 28 palavras (mínimo: 30)
06.02.02,Propriedade Intelectual,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 28 palavras (recomendado: 30-100)
06.02.03,Novas Tecnologias,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
06.02.03,Novas Tecnologias,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
06.02.04,Transferência de Tecnologia,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
06.02.04,Transferência de Tecnologia,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
06.03,Inovação,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 37 palavras (recomendado: 50-150)
06.03.01,Inovação e Startups,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
06.03.01,Inovação e Startups,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
06.03.02,Inovação Aberta,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
06.03.02,Inovação Aberta,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
06.03.03,Inovação em Rede,L3,too_short,ALTO,Descrição muito curta: 28 palavras (mínimo: 30)
06.03.03,Inovação em Rede,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 28 palavras (recomendado: 30-100)
06.03.04,Política de Inovação,L3,too_short,ALTO,Descrição muito curta: 26 palavras (mínimo: 30)
06.03.04,Política de Inovação,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 26 palavras (recomendado: 30-100)
06.04,Sustentabilidade e Descarbonização,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 36 palavras (recomendado: 50-150)
06.04.01,Inovação e Sustentabilidade,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
06.04.01,Inovação e Sustentabilidade,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
06.04.02,Inovação e Descarbonização,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
06.04.02,Inovação e Descarbonização,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
06.04.03,Tecnologias Verdes,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
06.04.03,Tecnologias Verdes,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
